Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Year,Country
3725276.0,1969064.0,1756212.0,15.79,12.531,9.0,11.0177020296762,44.0481829715696,47.1167930057833,5.11514473916241,16.506,15223796148.8396,1.61690624740909,-343444267.104738,1300425850.31256,3671.569693726004,27.5,78.3627517306781,68.477,78.131,107.67700958252,51.1823806762695,107.12882232666,2015,Georgia
3719414.0,1964759.0,1754655.0,15.442,12.576,9.0,11.1021956592479,46.0598579926538,49.0518645488983,5.11892968845653,17.439,17966015109.3043,6.93584981591135,-228267957.661326,1653634575.48904,2693.97276022513,30.7,72.2095353380914,68.309,77.934,109.708587646484,45.7736511230469,108.327568054199,2014,Georgia
3717668.0,1964188.0,1753480.0,15.102,12.783,9.0,10.8157128021693,47.3259702109656,50.3697576245781,4.78428893352775,19.416,17517660143.6859,4.82991095458212,-316774340.938468,1614215047.94541,2498.34035744989,32.4,68.9344955488092,67.866,77.436,110.558212280273,39.4706687927246,109.781311035156,2013,Georgia
3728874.0,1972268.0,1756606.0,14.842,12.691,9.0,10.8247726705395,47.1285562024914,50.9096660502333,4.75836155095308,19.653,16894392033.2256,9.66517772083624,-172313230.276553,1447116077.56026,2329.92587038339,28.7,74.4628232768799,67.651,77.205,109.747756958008,32.4973793029785,106.945487976074,2012,Georgia
3756441.0,1989291.0,1767150.0,14.937,12.418,9.0,10.9425389113941,48.6208746121559,52.0660764751687,5.2175630932329,19.632,15475290469.2869,6.42385865395305,-425958630.176787,1507118669.19262,2289.13484865062,31.5,72.7650663715129,67.856,76.854,108.015098571777,34.3632888793945,93.21315047900283,2011,Georgia
3786695.0,2007980.0,1778715.0,15.109,12.347,9.0,10.6016580198982,48.0871172148407,50.0189770898279,4.2108554100145,20.203,12426907967.1578,1.4070004587628437,-217038088.088594,1101768010.85314,2049.54452365453,39.1,64.7033446252482,67.603,76.572,107.449516296387,31.5973606109619,112.265228271484,2010,Georgia
3814419.0,2025467.0,1788952.0,14.789,12.194,9.0,10.2116339773934,49.3488017465866,52.1356362591031,3.8448639325412,20.71,10766920065.8251,1.4070004587628437,-43600339.3022514,872260604.242954,1833.04456065262,36.7,66.9936873349027,67.391,76.427,107.789581298828,28.2556705474854,110.772117614746,2009,Georgia
3848449.0,2046427.0,1802022.0,13.9,12.318,9.0,10.2769722381841,51.3489699079928,54.3433864747327,3.72613808036404,17.87,12795145130.9103,1.4070004587628437,-59300291.3887383,1040453664.89758,1881.53721148442,36.3,66.7892359577562,66.705,75.873,108.362197875977,38.0579414367676,108.699363708496,2008,Georgia
3860158.0,2055684.0,1804474.0,13.122,11.876,9.0,10.3749878104583,53.429949516544,56.6140173506638,3.73953420792948,13.28,10172931088.5655,1.4070004587628437,36000172.4042977,935472902.593966,1829.97690768098,36.2,70.690788833771,67.193,75.784,107.824989318848,41.5456504821777,105.296340942383,2007,Georgia
3880347.0,2069236.0,1811111.0,12.648,11.587,9.0,9.048249166494,55.3081853114581,57.3957044261726,3.95428065524376,13.57,7745250733.95067,1.4070004587628437,161096991.574521,867373273.804743,1769.17167459508,37.2,70.4086607607029,66.731,75.952,104.71443939209,42.8070793151855,97.9110336303711,2006,Georgia
3902469.0,2083572.0,1818897.0,12.483,11.445,9.0,9.29311066873957,54.336968556562,57.2088888888889,4.41042962962963,13.81,6410912049.87105,1.4070004587628437,60800860.6065621,946887886.686803,1916.47902904546,41.5,64.4133915759442,66.529,75.596,103.139099121094,51.8170394897461,98.8662872314453,2005,Georgia
3927340.0,2099712.0,1827628.0,12.221,11.633,6.0,8.83740393486814,54.0006621414731,56.5005625697448,4.06375944148814,12.62,5125365191.98664,1.4070004587628437,73799979.1318865,840306761.268781,1814.45965971879,54.5,53.7732727591832,66.166,74.791,104.983947753906,46.9170417785645,106.712417602539,2004,Georgia
3951736.0,2115807.0,1835929.0,11.811,11.463,6.0,8.35306293997928,54.893286358769,56.8570018101037,4.22293214097246,11.51,3991377904.13162,1.4070004587628437,9499778.62186284,770395917.321092,1749.86385730221,55.3,52.1446884767906,65.853,74.631,103.740409851074,48.030460357666,102.109466552734,2003,Georgia
3978515.0,2131091.0,1847424.0,11.798,11.409,6.0,8.22096350430041,53.7734140572107,55.3063137949014,3.5052874116019,12.59,3395766677.67315,1.4070004587628437,10400127.5234267,653375385.701436,1653.38072119874,56.8,49.5894752193351,65.537,74.339,103.32967376709,46.9072303771973,107.525077819824,2002,Georgia
4014373.0,2148710.0,1865663.0,11.77,11.482,6.0,9.28375777926616,52.7872572207684,52.8414249121996,5.92410236642133,11.16,3219462262.0075,1.4070004587628437,19999835.987838,674861807.69381,1583.5598734846,53.1,55.0904370045534,65.225,73.807,102.695236206055,44.2219085693359,103.905288696289,2001,Georgia
4077131.0,2180268.0,1896863.0,11.979,11.188,6.0,9.80999827767146,52.1693851287093,57.7322443294237,4.02429455565882,10.82,3057475335.18846,1.4070004587628437,37400000.0,629901340.753858,1574.3914041516,47.2,59.0122007579903,65.348,73.583,101.229949951172,42.5138702392578,99.2928237915039,2000,Georgia
4157192.0,2221240.0,1935952.0,12.185,11.125,6.0,9.44648079025731,52.2532926075835,54.1584472143125,4.9602639044328,13.8,2800025882.71672,1.4070004587628437,146899976.636403,692214488.690389,1563.79594687953,49.7,55.6959673390763,65.09,73.324,96.391471862793,39.6137390136719,88.0297927856445,1999,Georgia
4243607.0,2265943.0,1977664.0,12.637,11.062,6.0,10.1978163167777,48.5539170242159,50.9676695423492,5.64500227142246,14.53,3613497316.55319,1.4070004587628437,190699926.680995,948326290.439677,1517.81255898579,47.5,59.137049908683,64.879,73.091,92.1771469116211,33.94007270469477,93.21315047900283,1998,Georgia
4349913.0,2321218.0,2028695.0,13.1,10.814,8.910219675262654,10.5698638980886,48.2565483990131,50.4114620772964,5.91254341501732,11.5,3510520231.21387,1.4070004587628437,127400000.0,965626204.238921,1331.52088329123,44.4,59.8652220025872,64.583,73.315,87.5006713867188,47.1743583679199,87.1442108154297,1997,Georgia
4491699.0,2395046.0,2096653.0,13.553,10.652,8.910219675262654,10.8779737247011,48.3468339448455,50.2181491393528,6.25156773091318,11.5,3095047603.8083,1.4070004587628437,-71247299.7839827,1026082086.56693,1150.78948967863,42.8,60.5385211888895,64.325,73.42,84.6119613647461,43.4677581787109,85.7684326171875,1996,Georgia
4657722.0,2481795.0,2175927.0,14.088,10.569,8.910219675262654,11.1917335912942,48.4124387969835,50.2184425728613,6.55044974543916,7.6,2693768412.89179,1.4070004587628437,-119575589.766309,31235740622.087406,1492.36042855284,46.4,68.2929448046257,64.245,73.237,83.8724594116211,45.8798217773438,83.7724990844727,1995,Georgia
1417173173.0,685992675.0,731180498.0,16.267,9.074,8.0,26.1203240533855,42.8609336132324,59.2393140075085,16.1440862020321,4.822,3353470496885.95,1.4070004587628437,-46078999511.795,557998410808.645,3671.569693726004,20.614061272584443,78.3627517306781,66.257,69.384,111.084455603874,32.6703071594238,93.21315047900283,2022,India
1407563842.0,681060413.0,726503429.0,16.419,9.448,8.0,24.4704808705081,44.0791914844375,59.3283160940549,16.2574913066763,6.38,3167270623260.52,9.59294994294295,-37287774218.3212,550236037721.842,3671.569693726004,34.9,78.3627517306781,65.756,68.886,102.316123319201,31.5741767883301,99.0854949951172,2021,India
1396387127.0,675389679.0,720997448.0,16.572,7.35,8.0,23.7036490372409,44.6754943536434,58.0211283358357,16.5803469244473,7.859,2674851578586.86,-7.74774702814612,-35929571857.4599,499355674307.637,3671.569693726004,36.1,78.3627517306781,68.615,71.824,101.291253449929,29.8196392059326,98.1042175292969,2020,India
1383112050.0,668786993.0,714325057.0,17.049,6.71,8.0,25.2511114638605,40.6518195581414,53.8531927636435,18.5588283352668,6.51,2835606256558.84,1.73232977672467,-27238633305.0876,475121943129.794,3671.569693726004,33.5,78.3627517306781,69.525,72.395,99.5039236144817,29.0233592987061,96.3093719482422,2019,India
1369003306.0,661854076.0,707149230.0,17.651,6.644,8.0,25.365874287267,41.2949997088292,54.4795348027236,18.1112393367042,7.652,2702929641648.14,4.76782270841744,-28935364725.1683,433323697863.684,3671.569693726004,32.9,78.3627517306781,69.367,72.142,101.097955965022,28.5316867828369,93.21315047900283,2018,India
1354195680.0,654607791.0,699587889.0,17.911,6.593,8.0,25.2623110203201,42.2682554389655,55.5800617852636,18.4492059069796,7.723,2651474262755.59,7.5067635462089,-28673186104.1886,439039895543.654,3671.569693726004,32.5,78.3627517306781,69.159,71.856,117.868171691895,27.9090518951416,98.5887145996094,2017,India
1338636340.0,647012921.0,691623419.0,18.514,6.603,8.0,25.1798540083446,43.2368210040497,56.6407995286327,18.7859505781273,7.8,2294796885663.67,6.2280418945909,-26300103044.4269,375515985664.487,3671.569693726004,33.0,78.3627517306781,68.81,71.503,119.512832641602,27.3043575286865,99.3136749267578,2016,India
1322866505.0,639323292.0,683543213.0,18.765,6.67,8.0,24.9805145235319,44.2728761788081,57.7172623012737,19.027722832024,7.894,2103588360044.39,7.78950415978173,-24405494405.9413,340245069830.013,3671.569693726004,33.4,78.3627517306781,68.285,71.077,112.937843322754,27.2845668792725,99.9040069580078,2015,India
1307246509.0,631697152.0,675549357.0,19.049,6.79,8.0,24.8832687203732,45.2375993481647,58.6638669089285,19.3795540274212,7.992,2039126479155.27,5.16100156576059,-24112058202.9591,342408783047.536,797.349232010839,33.9,73.5769790878008,67.651,70.602,111.584541320801,25.991325378418,99.0280990600586,2014,India
1291132063.0,623809180.0,667322883.0,19.935,6.96,8.0,24.7570409842921,46.2013112257312,59.6132156745759,19.6668385534401,8.088,1856721507621.46,4.84250230613212,-23120556798.61,318398468147.788,758.110675158719,34.9,72.2854586440549,66.961,70.083,113.416778564453,24.3906383514404,96.9724807739258,2013,India
1274487215.0,615647780.0,658839435.0,20.421,7.118,8.0,24.6920332739296,47.0881568092011,60.4444939846403,20.0057440351162,8.156,1827637590410.95,4.68130657674007,-21460193760.2065,307872443507.069,718.295946185698,34.8,72.419079459491,66.324,69.592,111.775573730469,24.9402103424072,93.21315047900283,2012,India
