ID,Name,Address,Latitude,Longitude,Image Link,Detail URL,Category
93095,Tajmasago Castle - Buffet & Cafe,6 Phan Văn Chương,10.724064,106.719904,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhw0hy05ujfc8@resize_ss640x400,https://www.foody.vn/ho-chi-minh/high-tea-tra-chieu-tajmasago-buffet-cafe,food/sang-trong
21745,Ngọc Sương - Sương Nguyệt Ánh,"106 Sương Nguyệt Ánh, P. Phạm Ngũ Lão",10.77176,106.688994,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwc272tympy15e@resize_ss640x400,https://www.foody.vn/ho-chi-minh/ngoc-suong-suong-nguyet-anh,food/sang-trong
21754,Ngọc Sương - Hoàng Việt,6 Hoàng Việt,10.797091,106.659248,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdhviu1eg2j43@resize_ss640x400,https://www.foody.vn/ho-chi-minh/hai-san-ngoc-suong-hoang-viet,food/sang-trong
1578,Basilico - Italian Trattoria - InterContinental Residences Saigon,"Tầng Trệt, InterContinental Residences Saigon, Góc Đường Nguyễn Du & Lê Văn Hưu, P. Bến Nghé",10.781155,106.7006539999999,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwg935f861nf28@resize_ss640x400,https://www.foody.vn/ho-chi-minh/basilico-italian-trattoria-intercontinental-asiana-saigon,food/sang-trong
2302,Yu Chu - Cantonese & Peking - InterContinental Saigon,"InterContinental Saigon, Góc Đường Hai Bà Trưng & Lê Duẩn, P. Bến Nghé",10.780369,106.700375,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8j8t6zws7vfb@resize_ss640x400,https://www.foody.vn/ho-chi-minh/yu-chu-cantonese-peking-intercontinental-saigon,food/sang-trong
973,Kobe Teppanyaki - Nhà Hàng Nhật,"13A Tú Xương, P. 7",10.783364,106.689016,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfsgrbifduj52@resize_ss640x400,https://www.foody.vn/ho-chi-minh/kobe-nha-hang-nhat,food/sang-trong
2969,Stix - Hải Sản Cao Cấp,"174A Nguyễn Đình Chiểu, P. 6",10.780286,106.691612,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwf9crit7snvb2@resize_ss640x400,https://www.foody.vn/ho-chi-minh/stix-hai-san-cao-cap,food/sang-trong
85258,Mo Mo Paradise - Nguyễn Thị Minh Khai,96 Nguyễn Thị Minh Khai,10.780378,106.695438,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwe1vsylrf899a@resize_ss640x400,https://www.foody.vn/ho-chi-minh/mo-mo-paradise-nguyen-thi-minh-khai,food/sang-trong
14980,Saigon Cafe - Sheraton Saigon Hotel & Towers,"Tầng 1 Sheraton Saigon Hotel & Towers, 88 Đồng Khởi, P. Bến Nghé",10.775733,106.703467,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgdvlzeqajfe6@resize_ss640x400,https://www.foody.vn/ho-chi-minh/saigon-cafe-sheraton-saigon-hotel-towers,food/sang-trong
1554,Lobby Lounge - Sheraton Saigon Hotel & Towers,"Sheraton Saigon Hotel & Towers, 88 Đồng Khởi, P. Bến Nghé",10.775301,106.703918,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdhnyjhtvizf0@resize_ss640x400,https://www.foody.vn/ho-chi-minh/lobby-lounge-sheraton-saigon-hotel-towers,food/sang-trong
